wl,system,binary,servers,clients,total_kops,nlogs,per_client_kops,notes
a,disco-skip-cache1,disco-skip,3,1,107,1,"107",""
a,disco-skip-cache0,disco-skip,3,1,35,1,"35",""
a,swarm-kv,swarmkv,3,1,151,1,"151",""
a,fusee,fusee,3,1,112,1,"112",""
a,disco-skip-cache1,disco-skip,3,2,164,2,"90,74",""
a,disco-skip-cache0,disco-skip,3,2,64,2,"32,32",""
a,swarm-kv,swarmkv,3,2,278,2,"146,132",""
a,fusee,fusee,3,2,209,2,"107,102",""
a,disco-skip-cache1,disco-skip,3,4,236,4,"69,55,55,57",""
a,disco-skip-cache0,disco-skip,3,4,106,4,"27,26,27,26",""
a,swarm-kv,swarmkv,3,4,552,4,"140,140,134,138",""
a,fusee,fusee,3,4,401,4,"102,99,101,99",""
a,disco-skip-cache1,disco-skip,3,8,313,8,"48,38,38,37,37,39,38,38",""
a,disco-skip-cache0,disco-skip,3,8,158,8,"20,20,20,20,19,20,19,20",""
a,swarm-kv,swarmkv,3,8,932,8,"118,116,117,112,116,119,117,117",""
a,fusee,fusee,3,8,664,8,"83,83,83,84,81,85,82,83",""
b,disco-skip-cache1,disco-skip,3,1,241,1,"241",""
b,disco-skip-cache0,disco-skip,3,1,47,1,"47",""
b,swarm-kv,swarmkv,3,1,203,1,"203",""
b,fusee,fusee,3,1,203,1,"203",""
b,disco-skip-cache1,disco-skip,3,2,432,2,"232,200",""
b,disco-skip-cache0,disco-skip,3,2,92,2,"46,46",""
b,swarm-kv,swarmkv,3,2,352,2,"197,155",""
b,fusee,fusee,3,2,354,2,"193,161",""
b,disco-skip-cache1,disco-skip,3,4,740,4,"205,178,171,186",""
b,disco-skip-cache0,disco-skip,3,4,172,4,"43,43,43,43",""
b,swarm-kv,swarmkv,3,4,753,4,"195,194,171,193",""
b,fusee,fusee,3,4,731,4,"195,192,191,153",""
b,disco-skip-cache1,disco-skip,3,8,1201,8,"177,142,138,151,152,152,150,139",""
b,disco-skip-cache0,disco-skip,3,8,308,8,"39,38,39,38,39,39,38,38",""
b,swarm-kv,swarmkv,3,8,1477,8,"195,192,193,189,157,196,162,193",""
b,fusee,fusee,3,8,1265,8,"168,169,151,167,140,171,146,153",""
c,disco-skip-cache1,disco-skip,3,1,280,1,"280",""
c,disco-skip-cache0,disco-skip,3,1,48,1,"48",""
c,swarm-kv,swarmkv,3,1,208,1,"208",""
c,fusee,fusee,3,1,228,1,"228",""
c,disco-skip-cache1,disco-skip,3,2,532,2,"277,255",""
c,disco-skip-cache0,disco-skip,3,2,96,2,"48,48",""
c,swarm-kv,swarmkv,3,2,370,2,"207,163",""
c,fusee,fusee,3,2,427,2,"213,214",""
c,disco-skip-cache1,disco-skip,3,4,955,4,"266,211,244,234",""
c,disco-skip-cache0,disco-skip,3,4,188,4,"47,47,47,47",""
c,swarm-kv,swarmkv,3,4,737,4,"205,162,191,179",""
c,fusee,fusee,3,4,869,4,"233,229,230,177",""
c,disco-skip-cache1,disco-skip,3,8,1858,8,"263,226,219,242,240,243,205,220",""
c,disco-skip-cache0,disco-skip,3,8,377,8,"47,47,47,47,47,48,47,47",""
c,swarm-kv,swarmkv,3,8,1543,8,"204,202,202,194,162,204,171,204",""
c,fusee,fusee,3,8,1513,8,"194,184,195,164,193,196,194,193",""
d,disco-skip-cache1,disco-skip,3,1,244,1,"244",""
d,disco-skip-cache0,disco-skip,3,1,49,1,"49",""
d,swarm-kv,swarmkv,3,1,253,1,"253",""
d,fusee,fusee,3,1,247,1,"247",""
d,disco-skip-cache1,disco-skip,3,2,442,2,"234,208",""
d,disco-skip-cache0,disco-skip,3,2,98,2,"49,49",""
d,swarm-kv,swarmkv,3,2,432,2,"253,179",""
d,fusee,fusee,3,2,424,2,"245,179",""
d,disco-skip-cache1,disco-skip,3,4,763,4,"213,184,186,180",""
d,disco-skip-cache0,disco-skip,3,4,188,4,"47,47,47,47",""
d,swarm-kv,swarmkv,3,4,923,4,"251,243,250,179",""
d,fusee,fusee,3,4,792,4,"230,167,222,173",""
d,disco-skip-cache1,disco-skip,3,8,0,0,""," CRASH-OR-BAD-ARGS NO-TPUT-PARSED"
d,disco-skip-cache0,disco-skip,3,8,352,8,"44,44,44,44,44,44,44,44",""
d,swarm-kv,swarmkv,3,8,1902,8,"247,240,244,178,248,250,248,247",""
d,fusee,fusee,3,8,1439,8,"203,157,157,170,202,199,197,154",""
