wl,system,binary,servers,clients,total_kops,nlogs,per_client_kops,notes
a,disco-skip-cache1,disco-skip,3,1,101,1,"101",""
a,disco-skip-cache0,disco-skip,3,1,34,1,"34",""
a,swarm-kv,swarmkv,3,1,150,1,"150",""
a,fusee,fusee,3,1,114,1,"114",""
b,disco-skip-cache1,disco-skip,3,1,232,1,"232",""
b,disco-skip-cache0,disco-skip,3,1,46,1,"46",""
b,swarm-kv,swarmkv,3,1,199,1,"199",""
b,fusee,fusee,3,1,209,1,"209",""
c,disco-skip-cache1,disco-skip,3,1,272,1,"272",""
c,disco-skip-cache0,disco-skip,3,1,47,1,"47",""
c,swarm-kv,swarmkv,3,1,209,1,"209",""
c,fusee,fusee,3,1,227,1,"227",""
d,disco-skip-cache1,disco-skip,3,1,241,1,"241",""
d,disco-skip-cache0,disco-skip,3,1,49,1,"49",""
d,swarm-kv,swarmkv,3,1,252,1,"252",""
d,fusee,fusee,3,1,245,1,"245",""
